data.date;data.confirmed;data.hosp;data.deaths
05/01/2020;0;0;0
06/01/2020;0;0;0
07/01/2020;0;0;0
08/01/2020;0;0;0
09/01/2020;0;0;0
10/01/2020;0;0;0
11/01/2020;0;0;0
12/01/2020;0;0;0
13/01/2020;0;0;0
14/01/2020;0;0;0
15/01/2020;0;0;0
16/01/2020;0;0;0
17/01/2020;0;0;0
18/01/2020;0;0;0
19/01/2020;0;0;0
20/01/2020;0;0;0
21/01/2020;1;0;0
22/01/2020;1;0;0
23/01/2020;1;0;0
24/01/2020;2;0;0
25/01/2020;3;0;0
26/01/2020;5;0;0
27/01/2020;5;0;0
28/01/2020;5;0;0
29/01/2020;5;0;0
30/01/2020;6;0;0
31/01/2020;7;0;0
01/02/2020;8;0;0
02/02/2020;11;0;0
03/02/2020;11;0;0
04/02/2020;11;0;0
05/02/2020;12;0;0
06/02/2020;12;0;0
07/02/2020;12;0;0
08/02/2020;12;0;0
09/02/2020;12;0;0
10/02/2020;13;0;0
11/02/2020;13;0;0
12/02/2020;14;0;0
13/02/2020;15;0;0
14/02/2020;15;0;0
15/02/2020;15;0;0
16/02/2020;15;0;0
17/02/2020;25;0;0
18/02/2020;25;0;0
19/02/2020;25;0;0
20/02/2020;27;0;0
21/02/2020;30;0;0
22/02/2020;30;0;0
23/02/2020;30;0;0
24/02/2020;43;0;0
25/02/2020;45;0;0
26/02/2020;60;0;0
27/02/2020;60;0;0
28/02/2020;65;0;0
29/02/2020;70;0;1
01/03/2020;88;0;3
02/03/2020;104;0;6
03/03/2020;125;0;10
04/03/2020;161;0;12
05/03/2020;228;0;12
06/03/2020;311;0;15
07/03/2020;428;0;19
08/03/2020;547;0;22
09/03/2020;748;0;26
10/03/2020;1018;0;31
11/03/2020;1263;0;37
12/03/2020;1668;0;43
13/03/2020;2224;0;50
14/03/2020;2898;0;60
15/03/2020;3600;0;68
16/03/2020;4507;0;91
17/03/2020;5906;0;117
18/03/2020;8350;0;162
19/03/2020;12393;0;212
20/03/2020;18012;0;277
21/03/2020;24528;0;360
22/03/2020;33073;0;458
23/03/2020;43505;0;579
24/03/2020;53938;0;785
25/03/2020;68572;0;1054
26/03/2020;85570;0;1353
27/03/2020;102900;0;1770
28/03/2020;123966;0;2300
29/03/2020;142486;0;2718
